PlayerName,Rating,Salary,ContractLength
Budda Baker,93, $54m, 3y
Trey McBride,91, $76m, 4y
Josh Sweat, 84, $76.4m, 4y
James Conner,84, $19m, 2y
Paris Johnson Jr.,84, $28m, 4y
