PlayerName,Rating,Salary,ContractLength
Derrick Brown,88, $96m, 4y
Jaycee Horn,85, $100m, 4y
Taylor Moton,85, $17.5m, 2y
Chuba Hubbard,84, $33.2m, 4y
Damien Lewis,83, $53m, 4y
