PlayerName,Rating,Salary,ContractLength
Amon-Ra St. Brown,96, $120m, 4y
Penei Sewell,96, $112m, 4y
Aidan Hutchinson,94, $35.7m, 4y
Jahmyr Gibbs,93, $17.85m, 4m
Frank Ragnow,92, $54m, 4y
