PlayerName,Rating,Salary,ContractLength
Sauce Gardner,94, $33.4m, 4y
Quinnen Williams,90, $96m, 4y
Garrett Wilson,86, $20.5m, 4y
Alijah Vera-Tucker,84, $15.8m, 4y
Breece Hall,83, $9m, 4y
