PlayerName,Rating,Salary,ContractLength
Justin Jefferson,99, $140m, 4y
Christian Darrisaw,92, $104m, 4y
T.J. Hockenson,89, $66m, 4y
Jonathan Allen,88, $51m, 3y
Aaron Jones,88, $20m, 2y
