PlayerName,Rating,Salary,ContractLength
Lamar Jackson,99, $260m, 5y
Derrick Henry,99, $30m, 2y
Roquan Smith,94, $100m, 5y
Marlon Humphrey,93, $97.5m, 5y
Mark Andrews,92, $56m, 4y
