PlayerName,Rating,Salary,ContractLength
Patrick Surtain II,97, $96m, 4y
Quinn Meinerz,91, $72m, 4y
Garett Bolles,89, $82m, 4y
Dre Greenlaw,87, $31.5m, 3y
Evan Engram,86, $23m, 2y
