PlayerName,Rating,Salary,ContractLength
Trent Williams,99, $82.6m, 3y
George Kittle,98, $76.4m, 4y
Fred Warner,97, $63m, 3y
Nick Bosa,96, $170m, 5y
Christian McCaffrey,95, $38m, 2y
