PlayerName,Rating,Salary,ContractLength
Dexter Lawrence II,96, $87.5m, 4y
Andrew Thomas,88, $117.5m, 5y
Bobby Okereke,86, $40m, 4y
Brian Burns,86, $141m, 5y
Malik Nabers,83, 29.2m, 4y
