PlayerName,Rating,Salary,ContractLength
Tristan Wirfs,96, $140.6m, 5y
Mike Evans,94, $41m, 2y
Antoine Winfield Jr.,91, $84m, 4y
Vita Vea,91, $71m, 4y
Lavonte David,88, $10m, 1y
