PlayerName,Rating,Salary,ContractLength
Maxx Crosby,95, $106.5m, 3y
Brock Bowers,88, $18.1m, 4y
Kolton Miller,87, $54m, 3y
A.J. Cole III,85, $158m, 4y
Christian Wilkins,85, $110m, 4y
