PlayerName,Rating,Salary,ContractLength
Stefon Diggs,90, $63.5m, 3y
Christian Gonzalez,90, $15m, 4y
Jabrill Peppers,86, $24m, 3y
Carlton Davis III,85, $54m, 3y
Milton Williams,83, $104m, 4y
