PlayerName,Rating,Salary,ContractLength
Demario Davis,90, $17.2m, 2y
Erik McCoy,89, $60m, 5y
Justin Reid,88, $31.5m, 3y
Chris Olave,87, $19.2m, 4y
Tyrann Mathieu,85, $4m, 1y
