PlayerName,Rating,Salary,ContractLength
T.J. Watt,97, $112m, 4y
Cameron Heyward,93, $29m, 2y
Minkah Fitzpatrick,92, $73.6m, 4y
Darius Slay Jr.,89, $10m, 1y
Alex Highsmith,89, $68m, 4y
