PlayerName,Rating,Salary,ContractLength
Micah Parsons,98, $24m, 1y
CeeDee Lamb,95, $136m, 4y
DaRon Bland,88, $4m, 4y
Tyler Smith,88, $13.3m, 4y
Brandon Aubrey,87, $2.7m, 3y
