PlayerName,Rating,Salary,ContractLength
Laremy Tunsil,95, $75m, 3y
Terry McLaurin,94, $68.3m, 3y
Bobby Wagner,91, $9m, 1y
Sam Cosmi,87, $74m, 4y
Marshon Lattimore,87,$97.6m, 5y
