PlayerName,Rating,Salary,ContractLength
Josh Allen,90, $150m, 5y
Foyesade Oluokun,86, $30m, 3y
Devin Lloyd,85, $12.9m, 4y
Logan Cooke,83, $16m, 4y
Brian Thomas Jr.,82, 14.6m, 4y
