PlayerName,Rating,Salary,ContractLength
Quenton Nelson,92, $80m, 4y
Kenny Moore II,88, $30m, 3y
DeForest Buckner,87, $46m, 2y
Jonathan Taylor,87, $42m, 3y
Charvarius Ward,87, $54m, 3y
