PlayerName,Rating,Salary,ContractLength
Cooper Kupp,90, $45m, 3y
Kenneth Walker,88, $8.4m, 4y
Devon Witherspoon,88, $31.8m, 4y
DeMarcus Lawrence,87, $32.5m, 3y
Julian Love,87, $33m, 3y
