PlayerName,Rating,Salary,ContractLength
Joe Thuney,93, $17.5m, 2y
Jaylon Johnson,89, $76m, 4y
D.J. Moore,86, $110m, 4y
Kevin Byard,85, $15m, 2y
Jaquan Brisker,83, $7.3m, 4y
