PlayerName,Rating,Salary,ContractLength
Kevin Zeitler,91, $9m, 1y
Jeffery Simmons,89, $94m, 4y
L’Jarius Sneed,87, $76.4m, 4y
Tony Pollard,86, $21.7m, 3y
Calvin Ridley,81, $92m, 4y
