PlayerName,Rating,Salary,ContractLength
Joe Mixon,94, $25.5m, 3y
Derek Stingley,93, $90m, 3y
Danielle Hunter,91, $35.6m, 1y
Nico Collins,88, $72.75m, 3y
Will Anderson Jr.,88, 35.2m, 4y
