PlayerName,Rating,Salary,ContractLength
Jessie Bates III,96, $64m, 4y
Chris Lindstrom,94, $102.5m, 5y
Bijan Robinson,90, $22m, 4y
Drake London,89, $21.5m, 4y
A.J. Terrell Jr.,89, $81m, 4y
