PlayerName,Rating,Salary,ContractLength
Josh Jacobs,92, $48m, 4y
Xavier McKinney,92, $67m, 4y
Jaire Alexander,91, $84m, 4y
Zach Tom,87, $4.1m, 4y
Elgton Jenkins,86, $68m, 4y
