PlayerName,Rating,Salary,ContractLength
Saquon Barkley,99, $41.2m, 2y
Lane Johnson,98, $25m, 1y
Jordan Mailata,95, $66m, 3y
A.J. Brown,93, $96m, 3
Zack Baun,89, $51m, 3y
