PlayerName,Rating,Salary,ContractLength
Travis Kelce,99, $24m, wy
Chris Jones,97, $158.7m, 5y
Patrick Mahomes,95, $450m, 10y
Creed Humphrey,94, $72m, 4y
Trent McDuffie,94, $13.9m, 4y
