PlayerName,Rating,Salary,ContractLength
Davante Adams,91, $44m, 2y
Puka Nacua,88, $4m, 4y
Kyren Williams,87, $3.9m, 4y
Jared Verse,86, $15m, 4y
Matthew Stafford,85, $84m, 2y
