PlayerName,Rating,Salary,ContractLength
Rashawn Slater,93, $16.6m, 4y
Derwin James Jr.,93, $76.5m, 4y
Khalil Mack,91, $18m, 1y
Justin Herbert,86, $262.5m, 5y
Najee Harris,83, $5.2m, 1y
